date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:33	915/915	---M--	200	added ('OK')	text/css	etag:%229a5ccb8dda3a7f2b0a642f18736972c5-ssl%22	https://kerrilive.netlify.app/light/css/color/default.css	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/color/default.css	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:34	2400/2400	---M--	200	added ('OK')	image/png	etag:%2298a33b3be7d009ffc6fae5fc2cea0f1f-ssl%22	https://kerrilive.netlify.app/light/images/logo.png	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/logo.png	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:34	2387/2387	---M--	200	added ('OK')	image/png	etag:%22f5712df098ce9465fd0022639acb3932-ssl%22	https://kerrilive.netlify.app/light/images/logo-dark.png	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/logo-dark.png	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:35	168208/168208	---M--	200	added ('OK')	image/jpeg	etag:%22679687af9f9500e39e7ed5682f4ec4fe-ssl%22	https://kerrilive.netlify.app/light/images/header-bg.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/header-bg.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:36	73770/73770	---M--	200	added ('OK')	image/jpeg	etag:%223f9ad1cf9578280a5b9e628803f48062-ssl%22	https://kerrilive.netlify.app/light/images/about.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/about.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:36	3090/3090	---M--	200	added ('OK')	image/jpeg	etag:%22c2876906436a81316d0ecb287b7db1e4-ssl%22	https://kerrilive.netlify.app/light/images/testi/testi-1.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/testi/testi-1.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:37	3595/3595	---M--	200	added ('OK')	image/jpeg	etag:%2266fe986817244b40df6d71151659c277-ssl%22	https://kerrilive.netlify.app/light/images/testi/testi-2.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/testi/testi-2.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:37	3540/3540	---M--	200	added ('OK')	image/jpeg	etag:%22a508bed072254035e6bb7f7d32c9e17d-ssl%22	https://kerrilive.netlify.app/light/images/testi/testi-3.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/testi/testi-3.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:38	33334/33334	---M--	200	added ('OK')	image/jpeg	etag:%22e42b6d822987ef820a39c67d117b3629-ssl%22	https://kerrilive.netlify.app/light/images/works/1.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/1.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:38	21926/21926	---M--	200	added ('OK')	image/jpeg	etag:%22815d938a1991384a399ce5e48f36dd94-ssl%22	https://kerrilive.netlify.app/light/images/works/2.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/2.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:39	12118/12118	---M--	200	added ('OK')	image/jpeg	etag:%22be017a060d4f4a60dcbb794df07e3a3b-ssl%22	https://kerrilive.netlify.app/light/images/works/3.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/3.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:39	14741/14741	---M--	200	added ('OK')	image/jpeg	etag:%22411bd9d43e707b3a1888e61b33da268b-ssl%22	https://kerrilive.netlify.app/light/images/works/4.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/4.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:40	23780/23780	---M--	200	added ('OK')	image/jpeg	etag:%22fb5171e34f07e0656a2f89d4a3d9b6a4-ssl%22	https://kerrilive.netlify.app/light/images/works/5.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/5.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:41	91472/91472	---M--	200	added ('OK')	image/jpeg	etag:%222c29c556fd9632470042c47de337906f-ssl%22	https://kerrilive.netlify.app/light/images/works/6.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/6.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:41	134459/134459	---M--	200	added ('OK')	image/jpeg	etag:%22017dd1eadcbc2d7095a7076070a0a491-ssl%22	https://kerrilive.netlify.app/light/images/blog/blog-1.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/blog/blog-1.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:42	88748/88748	---M--	200	added ('OK')	image/jpeg	etag:%22c21dbdd2890c3c7a6426c4c55f63e5a8-ssl%22	https://kerrilive.netlify.app/light/images/blog/blog-2.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/blog/blog-2.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:42	76367/76367	---M--	200	added ('OK')	image/jpeg	etag:%22d5f6a12d86b80acd723ca71cfcbf7210-ssl%22	https://kerrilive.netlify.app/light/images/blog/blog-3.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/blog/blog-3.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:42	78871/78871	---MCZ	200	added ('OK')	application/javascript	etag:%2287fae68b985fd29a6c42297cb3dd387e-ssl-df%22	https://kerrilive.netlify.app/light/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/bootstrap.bundle.min.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:43	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:%22d02571e3593c7ac903004599031cdc0e-ssl-df%22	https://kerrilive.netlify.app/light/js/jquery.min.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/jquery.min.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:44	1961/1961	---M-Z	200	added ('OK')	application/javascript	etag:%226744b4096f3f25cb348921f2f3c5f54c-ssl-df%22	https://kerrilive.netlify.app/light/js/jquery.simple-text-rotator.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/jquery.simple-text-rotator.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:44	24908/24908	---MCZ	200	added ('OK')	application/javascript	etag:%22ac12b2535fa8e4ab9cc9f93bf882863e-ssl-df%22	https://kerrilive.netlify.app/light/js/parallax.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/parallax.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:45	43079/43079	---MCZ	200	added ('OK')	application/javascript	etag:%22ec223900f64c9231ed3f698363da9d6d-ssl-df%22	https://kerrilive.netlify.app/light/js/particles.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/particles.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:45	2814/2814	---M-Z	200	added ('OK')	application/javascript	etag:%2299b15de80dcf4259a012cd923f4429d4-ssl-df%22	https://kerrilive.netlify.app/light/js/particles.app.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/particles.app.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:46	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:%22786a9ae8fb028cc0130159068694476d-ssl-df%22	https://kerrilive.netlify.app/light/js/owl.carousel.min.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/owl.carousel.min.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:46	1563/1563	---MCZ	200	added ('OK')	application/javascript	etag:%228c5466210118d1ee9121563915c03139-ssl-df%22	https://kerrilive.netlify.app/light/js/switcher.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/switcher.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:47	35624/35624	---MCZ	200	added ('OK')	application/javascript	etag:%221eb081a1898e556d84f99a361bcd539b-ssl-df%22	https://kerrilive.netlify.app/light/js/isotope.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/isotope.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:47	20947/20947	---MCZ	200	added ('OK')	application/javascript	etag:%225e13da137cd4516dfccfd607eeb99c57-ssl-df%22	https://kerrilive.netlify.app/light/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/jquery.magnific-popup.min.js	(from https://kerrilive.netlify.app/light/index_13.html)
14:40:48	1571/1571	---M-Z	200	added ('OK')	application/javascript	etag:%22a95cfc6f6d05fc0e0b9ccfd6bc45b6f3-ssl-df%22	https://kerrilive.netlify.app/light/js/custom.js	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/js/custom.js	(from https://kerrilive.netlify.app/light/index_13.html)
