date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:00	1449/1449	------	404	error ('Not%20Found')	text/html	etag:1633357539-ssl-df	https://kerrilive.netlify.app/robots.txt		(from )
14:42:00	33544/33544	------	200	untouched ('OK')	text/html	etag:%22f4849ab5aae26dc1da07052c60d1e417-ssl-df%22	https://kerrilive.netlify.app/light/index_13.html	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/index_13.html	(from )
14:42:00	104923/104923	------	200	untouched ('')	image/vnd.microsoft.icon	etag:%22f895d8266de7a94322e84c4957a75cd5-ssl%22	https://kerrilive.netlify.app/light/images/favicon.ico	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/favicon.ico	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	162764/162764	------	200	untouched ('OK')	text/css	etag:%22be997d627ab7bb53651c6a0170a29830-ssl-df%22	https://kerrilive.netlify.app/light/css/bootstrap.min.css	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/bootstrap.min.css	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	86891/86891	------	200	untouched ('OK')	text/css	etag:%22aab178e07285af3f1baf2a4d7c4a0e80-ssl-df%22	https://kerrilive.netlify.app/light/css/materialdesignicons.min.css	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/materialdesignicons.min.css	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	3351/3351	------	200	untouched ('OK')	text/css	etag:%22873d102310523db811ebc62724307bfc-ssl-df%22	https://kerrilive.netlify.app/light/css/owl.carousel.min.css	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/owl.carousel.min.css	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	56048/56048	------	200	untouched ('OK')	text/css	etag:%22334b07784ce399f3e1f4065c978133fc-ssl-df%22	https://kerrilive.netlify.app/light/css/animate.min.css	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/animate.min.css	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	7782/7782	------	200	untouched ('OK')	text/css	etag:%22010273161e2da9779442fc9772d0ece2-ssl-df%22	https://kerrilive.netlify.app/light/css/magnific-popup.css	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/magnific-popup.css	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	7623/7623	------	200	untouched ('OK')	text/css	etag:%22eaa2e050e7254976b96d4b05824c9d54-ssl-df%22	https://kerrilive.netlify.app/light/css/mobiriseicons.css	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/mobiriseicons.css	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	14692/14692	------	200	untouched ('OK')	text/css	etag:%22a5ecf08cf07745aab6c6233db38865b0-ssl-df%22	https://kerrilive.netlify.app/light/css/style.css	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/style.css	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	915/915	------	200	untouched ('OK')	text/css	etag:%229a5ccb8dda3a7f2b0a642f18736972c5-ssl%22	https://kerrilive.netlify.app/light/css/color/default.css	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/color/default.css	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	2400/2400	------	200	untouched ('')	image/png	etag:%2298a33b3be7d009ffc6fae5fc2cea0f1f-ssl%22	https://kerrilive.netlify.app/light/images/logo.png	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/logo.png	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	2387/2387	------	200	untouched ('')	image/png	etag:%22f5712df098ce9465fd0022639acb3932-ssl%22	https://kerrilive.netlify.app/light/images/logo-dark.png	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/logo-dark.png	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	168208/168208	------	200	untouched ('')	image/jpeg	etag:%22679687af9f9500e39e7ed5682f4ec4fe-ssl%22	https://kerrilive.netlify.app/light/images/header-bg.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/header-bg.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	73770/73770	------	200	untouched ('')	image/jpeg	etag:%223f9ad1cf9578280a5b9e628803f48062-ssl%22	https://kerrilive.netlify.app/light/images/about.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/about.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	156/156	------	404	error ('Not%20Found')	text/html	etag:1633357539-ssl-df	https://kerrilive.netlify.app/light/fonts/materialdesignicons-webfont.svg?v=2.0.46	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/materialdesignicons-webfont.2adf71.delayed	(from https://kerrilive.netlify.app/light/css/materialdesignicons.min.css)
14:42:00	3090/3090	------	200	untouched ('')	image/jpeg	etag:%22c2876906436a81316d0ecb287b7db1e4-ssl%22	https://kerrilive.netlify.app/light/images/testi/testi-1.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/testi/testi-1.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	3595/3595	------	200	untouched ('')	image/jpeg	etag:%2266fe986817244b40df6d71151659c277-ssl%22	https://kerrilive.netlify.app/light/images/testi/testi-2.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/testi/testi-2.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	3540/3540	------	200	untouched ('')	image/jpeg	etag:%22a508bed072254035e6bb7f7d32c9e17d-ssl%22	https://kerrilive.netlify.app/light/images/testi/testi-3.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/testi/testi-3.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	33334/33334	------	200	untouched ('')	image/jpeg	etag:%22e42b6d822987ef820a39c67d117b3629-ssl%22	https://kerrilive.netlify.app/light/images/works/1.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/1.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	21926/21926	------	200	untouched ('')	image/jpeg	etag:%22815d938a1991384a399ce5e48f36dd94-ssl%22	https://kerrilive.netlify.app/light/images/works/2.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/2.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	12118/12118	------	200	untouched ('')	image/jpeg	etag:%22be017a060d4f4a60dcbb794df07e3a3b-ssl%22	https://kerrilive.netlify.app/light/images/works/3.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/3.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	14741/14741	------	200	untouched ('')	image/jpeg	etag:%22411bd9d43e707b3a1888e61b33da268b-ssl%22	https://kerrilive.netlify.app/light/images/works/4.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/4.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	23780/23780	------	200	untouched ('')	image/jpeg	etag:%22fb5171e34f07e0656a2f89d4a3d9b6a4-ssl%22	https://kerrilive.netlify.app/light/images/works/5.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/5.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	156/156	------	404	error ('Not%20Found')	text/html	etag:1633357539-ssl-df	https://kerrilive.netlify.app/light/css/owl.video.play.png	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/owl.video.play.2b.delayed	(from https://kerrilive.netlify.app/light/css/owl.carousel.min.css)
14:42:00	91472/91472	------	200	untouched ('')	image/jpeg	etag:%222c29c556fd9632470042c47de337906f-ssl%22	https://kerrilive.netlify.app/light/images/works/6.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/works/6.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	134459/134459	------	200	untouched ('')	image/jpeg	etag:%22017dd1eadcbc2d7095a7076070a0a491-ssl%22	https://kerrilive.netlify.app/light/images/blog/blog-1.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/blog/blog-1.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	88748/88748	------	200	untouched ('')	image/jpeg	etag:%22c21dbdd2890c3c7a6426c4c55f63e5a8-ssl%22	https://kerrilive.netlify.app/light/images/blog/blog-2.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/blog/blog-2.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
14:42:00	76367/76367	------	200	untouched ('')	image/jpeg	etag:%22d5f6a12d86b80acd723ca71cfcbf7210-ssl%22	https://kerrilive.netlify.app/light/images/blog/blog-3.jpg	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/images/blog/blog-3.jpg	(from https://kerrilive.netlify.app/light/index_13.html)
